대학명,시도,시군구,대계열,학과명
강릉원주대학교,강원,강원 강릉시,인문계열,국어국문학과
강릉원주대학교,강원,강원 강릉시,인문계열,중어중문학과
강릉원주대학교,강원,강원 강릉시,인문계열,영어영문학과
강릉원주대학교,강원,강원 강릉시,인문계열,독어독문학과
강릉원주대학교,강원,강원 강릉시,인문계열,사학과
강릉원주대학교,강원,강원 강릉시,인문계열,일본학과
강릉원주대학교,강원,강원 강릉시,인문계열,철학과
강릉원주대학교,강원,강원 강릉시,사회계열,경영학과
강릉원주대학교,강원,강원 강릉시,사회계열,관광경영학과
강릉원주대학교,강원,강원 강릉시,사회계열,경제학과
강릉원주대학교,강원,강원 강릉시,사회계열,회계학과
강릉원주대학교,강원,강원 강릉시,사회계열,국제통상학과
강릉원주대학교,강원,강원 강릉시,사회계열,무역학과
강릉원주대학교,강원,강원 강릉시,사회계열,법학과
강릉원주대학교,강원,강원 강릉시,사회계열,도시계획부동산학과
강릉원주대학교,강원,강원 강릉시,사회계열,도시계획·부동산학과
강릉원주대학교,강원,강원 강릉시,사회계열,자치행정학과
강릉원주대학교,강원,강원 강릉시,교육계열,교직과정부
강릉원주대학교,강원,강원 강릉시,공학계열,건설환경공학과
강릉원주대학교,강원,강원 강릉시,공학계열,토목공학과
강릉원주대학교,강원,강원 강릉시,공학계열,전자공학과
강릉원주대학교,강원,강원 강릉시,공학계열,화학신소재학과
강릉원주대학교,강원,강원 강릉시,공학계열,신소재금속공학과
강릉원주대학교,강원,강원 강릉시,공학계열,세라믹신소재공학과
강릉원주대학교,강원,강원 강릉시,공학계열,데이터사이언스학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양생태환경학과
강릉원주대학교,강원,강원 강릉시,자연계열,생명화학공학과
강릉원주대학교,강원,강원 강릉시,자연계열,수산생명의학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양생명과학과
강릉원주대학교,강원,강원 강릉시,자연계열,식물생명과학과
강릉원주대학교,강원,강원 강릉시,자연계열,식품가공유통학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양분자생명과학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양바이오식품학과 해양바이오전공
강릉원주대학교,강원,강원 강릉시,자연계열,생물학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양생물공학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양자원육성학과
강릉원주대학교,강원,강원 강릉시,자연계열,환경조경학과
강릉원주대학교,강원,강원 강릉시,자연계열,식품영양학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양식품공학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양바이오식품학과
강릉원주대학교,강원,강원 강릉시,자연계열,해양바이오식품학과 해양식품융합전공
강릉원주대학교,강원,강원 강릉시,자연계열,수학과
강릉원주대학교,강원,강원 강릉시,자연계열,수학물리학부
강릉원주대학교,강원,강원 강릉시,자연계열,수학물리학부(수학전공)
강릉원주대학교,강원,강원 강릉시,자연계열,정보통계학과
강릉원주대학교,강원,강원 강릉시,자연계열,물리학과
강릉원주대학교,강원,강원 강릉시,자연계열,수학물리학부(물리·에너지전공)
강릉원주대학교,강원,강원 강릉시,자연계열,대기환경과학과
강릉원주대학교,강원,강원 강릉시,의약계열,치위생학과
강릉원주대학교,강원,강원 강릉시,의약계열,치의예과
강릉원주대학교,강원,강원 강릉시,의약계열,치의학과
강릉원주대학교,강원,강원 강릉시,예체능계열,패션디자인학과
강릉원주대학교,강원,강원 강릉시,예체능계열,공예조형디자인학과
강릉원주대학교,강원,강원 강릉시,예체능계열,체육학과
강릉원주대학교,강원,강원 강릉시,예체능계열,미술학과
강릉원주대학교,강원,강원 강릉시,예체능계열,조형예술·디자인학과
강릉원주대학교,강원,강원 강릉시,예체능계열,음악과
강릉원주대학교,강원,강원 강릉시,예체능계열,음악학과
강릉원주대학교,강원,강원 원주시,사회계열,사회복지학과
강릉원주대학교,강원,강원 원주시,사회계열,다문화학과
강릉원주대학교,강원,강원 원주시,교육계열,유아교육과
강릉원주대학교,강원,강원 원주시,공학계열,기계공학과
강릉원주대학교,강원,강원 원주시,공학계열,자동차공학과
강릉원주대학교,강원,강원 원주시,공학계열,전기공학과
강릉원주대학교,강원,강원 원주시,공학계열,멀티미디어공학과
강릉원주대학교,강원,강원 원주시,공학계열,컴퓨터공학과
강릉원주대학교,강원,강원 원주시,공학계열,소프트웨어학과
강릉원주대학교,강원,강원 원주시,공학계열,정보통신공학과
강릉원주대학교,강원,강원 원주시,공학계열,산업경영공학과
강릉원주대학교,강원,강원 원주시,의약계열,간호학과
강원대학교,강원,강원 춘천시,인문계열,국어국문학과
강원대학교,강원,강원 춘천시,인문계열,국어국문학전공
강원대학교,강원,강원 춘천시,인문계열,스토리텔링학과
강원대학교,강원,강원 춘천시,인문계열,중어중문학과
강원대학교,강원,강원 춘천시,인문계열,중어중문학전공
강원대학교,강원,강원 춘천시,인문계열,영어영문학과
강원대학교,강원,강원 춘천시,인문계열,영어영문학전공
강원대학교,강원,강원 춘천시,인문계열,독어독문학과
강원대학교,강원,강원 춘천시,인문계열,독어독문학전공
강원대학교,강원,강원 춘천시,인문계열,불어불문학과
강원대학교,강원,강원 춘천시,인문계열,불어불문학전공
강원대학교,강원,강원 춘천시,인문계열,문화인류학과
강원대학교,강원,강원 춘천시,인문계열,문화인류학전공
강원대학교,강원,강원 춘천시,인문계열,심리학과
강원대학교,강원,강원 춘천시,인문계열,심리학전공
강원대학교,강원,강원 춘천시,인문계열,사학과
강원대학교,강원,강원 춘천시,인문계열,사학전공
강원대학교,강원,강원 춘천시,인문계열,일본학과
강원대학교,강원,강원 춘천시,인문계열,일본학전공
강원대학교,강원,강원 춘천시,인문계열,철학과
강원대학교,강원,강원 춘천시,인문계열,철학전공
강원대학교,강원,강원 춘천시,인문계열,인문학부
강원대학교,강원,강원 춘천시,인문계열,자유전공학부(인문계열)
강원대학교,강원,강원 춘천시,사회계열,경영관광회계학부
강원대학교,강원,강원 춘천시,사회계열,경영학과
강원대학교,강원,강원 춘천시,사회계열,경영학전공
강원대학교,강원,강원 춘천시,사회계열,관광경영학과
강원대학교,강원,강원 춘천시,사회계열,관광경영학전공
강원대학교,강원,강원 춘천시,사회계열,부동산학과
강원대학교,강원,강원 춘천시,사회계열,글로벌비즈니스학과
강원대학교,강원,강원 춘천시,사회계열,경제학과
강원대학교,강원,강원 춘천시,사회계열,경제학전공
강원대학교,강원,강원 춘천시,사회계열,농업자원경제학전공
강원대학교,강원,강원 춘천시,사회계열,경제·정보통계학부
강원대학교,강원,강원 춘천시,사회계열,회계학과
강원대학교,강원,강원 춘천시,사회계열,회계학전공
강원대학교,강원,강원 춘천시,사회계열,경영·회계학부
강원대학교,강원,강원 춘천시,사회계열,국제무역학과
강원대학교,강원,강원 춘천시,사회계열,국제무역학전공
강원대학교,강원,강원 춘천시,사회계열,무역학과
강원대학교,강원,강원 춘천시,사회계열,무역학전공
강원대학교,강원,강원 춘천시,사회계열,법학전공
강원대학교,강원,강원 춘천시,사회계열,지역기반공학전공
강원대학교,강원,강원 춘천시,사회계열,사회학과
강원대학교,강원,강원 춘천시,사회계열,신문방송학과
강원대학교,강원,강원 춘천시,사회계열,미디어커뮤니케이션학과
강원대학교,강원,강원 춘천시,사회계열,정치외교학과
강원대학교,강원,강원 춘천시,사회계열,행정학과
강원대학교,강원,강원 춘천시,사회계열,행정학전공
강원대학교,강원,강원 춘천시,사회계열,행정.심리학부
강원대학교,강원,강원 춘천시,교육계열,교육학과
강원대학교,강원,강원 춘천시,교육계열,국어교육과
강원대학교,강원,강원 춘천시,교육계열,영어교육과
강원대학교,강원,강원 춘천시,교육계열,한문교육과
강원대학교,강원,강원 춘천시,교육계열,윤리교육과
강원대학교,강원,강원 춘천시,교육계열,역사교육과
강원대학교,강원,강원 춘천시,교육계열,일반사회교육과
강원대학교,강원,강원 춘천시,교육계열,지리교육과
강원대학교,강원,강원 춘천시,교육계열,가정교육과
강원대학교,강원,강원 춘천시,교육계열,과학교육학부
강원대학교,강원,강원 춘천시,교육계열,물리교육전공
강원대학교,강원,강원 춘천시,교육계열,생물교육전공
강원대학교,강원,강원 춘천시,교육계열,수학교육과
강원대학교,강원,강원 춘천시,교육계열,지구과학교육전공
강원대학교,강원,강원 춘천시,교육계열,화학교육전공
강원대학교,강원,강원 춘천시,교육계열,체육교육과
강원대학교,강원,강원 춘천시,공학계열,건축공학과
강원대학교,강원,강원 춘천시,공학계열,건축공학전공
강원대학교,강원,강원 춘천시,공학계열,건축·토목·환경공학부
강원대학교,강원,강원 춘천시,공학계열,건축학부
강원대학교,강원,강원 춘천시,공학계열,건축학과(5)
강원대학교,강원,강원 춘천시,공학계열,건축학전공(5년제)
강원대학교,강원,강원 춘천시,공학계열,조경학과
강원대학교,강원,강원 춘천시,공학계열,조경학전공
강원대학교,강원,강원 춘천시,공학계열,토목공학과
강원대학교,강원,강원 춘천시,공학계열,토목공학전공
강원대학교,강원,강원 춘천시,공학계열,지역건설공학과
강원대학교,강원,강원 춘천시,공학계열,기계공학전공
강원대학교,강원,강원 춘천시,공학계열,농업기계공학전공
강원대학교,강원,강원 춘천시,공학계열,정밀기계공학과
강원대학교,강원,강원 춘천시,공학계열,기계의용공학전공
강원대학교,강원,강원 춘천시,공학계열,기계의용공학과
강원대학교,강원,강원 춘천시,공학계열,기계의용·메카트로닉스·재료공학부
강원대학교,강원,강원 춘천시,공학계열,바이오시스템기계공학전공
강원대학교,강원,강원 춘천시,공학계열,기계의용·메카트로닉스공학부
강원대학교,강원,강원 춘천시,공학계열,전기전자공학과
강원대학교,강원,강원 춘천시,공학계열,전기전자공학전공
강원대학교,강원,강원 춘천시,공학계열,전자공학과
강원대학교,강원,강원 춘천시,공학계열,전자공학전공
강원대학교,강원,강원 춘천시,공학계열,컴퓨터정보통신공학전공
강원대학교,강원,강원 춘천시,공학계열,에너지자원공학전공
강원대학교,강원,강원 춘천시,공학계열,자원에너지시스템공학과
강원대학교,강원,강원 춘천시,공학계열,에너지자원·산업공학부
강원대학교,강원,강원 춘천시,공학계열,신소재공학과
강원대학교,강원,강원 춘천시,공학계열,산림바이오소재공학과
강원대학교,강원,강원 춘천시,공학계열,나노응용공학과
강원대학교,강원,강원 춘천시,공학계열,생물의소재공학과
강원대학교,강원,강원 춘천시,공학계열,산림바이오소재공학전공
강원대학교,강원,강원 춘천시,공학계열,배터리융합공학과
강원대학교,강원,강원 춘천시,공학계열,재료공학전공
강원대학교,강원,강원 춘천시,공학계열,컴퓨터공학과
강원대학교,강원,강원 춘천시,공학계열,컴퓨터과학전공
강원대학교,강원,강원 춘천시,공학계열,컴퓨터학부
강원대학교,강원,강원 춘천시,공학계열,AI융합학과
강원대학교,강원,강원 춘천시,공학계열,전자통신공학전공
강원대학교,강원,강원 춘천시,공학계열,디지털밀리터리학과
강원대학교,강원,강원 춘천시,공학계열,산업공학과
강원대학교,강원,강원 춘천시,공학계열,산업공학전공
강원대학교,강원,강원 춘천시,공학계열,시스템경영공학과
강원대학교,강원,강원 춘천시,공학계열,화학공학과
강원대학교,강원,강원 춘천시,공학계열,화학공학전공
강원대학교,강원,강원 춘천시,공학계열,화공·생물공학부
강원대학교,강원,강원 춘천시,공학계열,메카트로닉스공학과
강원대학교,강원,강원 춘천시,공학계열,메카트로닉스공학전공
강원대학교,강원,강원 춘천시,공학계열,메카트로닉스전공
강원대학교,강원,강원 춘천시,공학계열,기계메카트로닉스공학과
강원대학교,강원,강원 춘천시,공학계열,제지공학과
강원대학교,강원,강원 춘천시,공학계열,제지공학전공
강원대학교,강원,강원 춘천시,공학계열,종이소재과학전공
강원대학교,강원,강원 춘천시,공학계열,목재과학전공
강원대학교,강원,강원 춘천시,공학계열,목재·종이과학부
강원대학교,강원,강원 춘천시,공학계열,생명건강공학전공
강원대학교,강원,강원 춘천시,공학계열,생명건강공학과
강원대학교,강원,강원 춘천시,자연계열,축산학과
강원대학교,강원,강원 춘천시,자연계열,바이오시스템공학과
강원대학교,강원,강원 춘천시,자연계열,축산식품과학과
강원대학교,강원,강원 춘천시,자연계열,동물생명과학대학 사료생산공학과
강원대학교,강원,강원 춘천시,자연계열,축산과학전공
