연도,학제,대학원구분,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,학위과정,대계열,중계열,소계열,학과코드,학과명,학과수_전체
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,일본어ㆍ문학,U01010300003,일본어과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,중국어ㆍ문학,U01010400002,중국어과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,언어ㆍ문학,영미어ㆍ문학,U01010600018,영어영문학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,인문과학,교양인문학,U01020800121,기타모집단위,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,인문계열,인문과학,교양인문학,U01020800164,인문교양학부,0 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경영학,U02010100164,창업경영학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경영학,U02010100568,융합경영학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,경제학,U02010200014,경제학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500007,경영회계학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500054,회계학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500112,협동조합금융학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500223,회계세무부동산학과,2 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,사회계열,사회과학,행정학,U02030700168,공공행정학과,1 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100003,건축공학과,3 
2023,대학교,,한밭대학교,기존,본교(제1캠퍼스),대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)","34,158 ",042-821-1114,042-825-5395,www.hanbat.ac.kr,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100104,설비공학과,2 
